,-90,-80,-70,-60,-50,-40,-30,-20,-15,-10,-5,-2,0,2,5,10,15,19,30,40,50,60,70,80,90
0,28,33,34,39,49,64,91,240,230,500,800,540,380,280,330,260,130,100,65,51,43,38,34,31,28
10,28,34,34,39,49,64,94,270,380,620,560,540,470,330,340,240,170,100,67,52,42,37,33,31,28
20,28,34,35,39,47,61,91,220,340,420,350,330,330,210,150,160,140,100,72,54,42,37,33,31,28
30,28,34,36,39,46,59,84,200,150,160,330,410,270,150,160,240,170,100,79,56,42,36,32,30,28
40,28,35,36,39,46,57,76,170,220,240,310,290,200,210,200,190,130,100,85,58,43,36,32,29,28
50,28,34,37,39,45,54,68,140,160,280,370,290,210,210,240,170,120,100,89,60,43,36,31,29,28
60,28,35,37,39,43,51,64,140,300,290,380,310,290,310,300,220,130,100,88,59,43,35,31,28,28
70,28,34,37,38,41,48,62,120,140,270,290,290,350,430,370,230,130,90,84,57,43,35,30,28,28
80,28,34,36,36,19,49,65,110,180,280,300,290,250,260,270,210,150,90,76,55,42,35,30,28,28
90,28,33,35,35,17,49,70,140,130,240,300,260,340,320,250,190,160,90,68,53,41,34,30,28,28
100,28,33,33,34,37,50,76,140,160,210,330,330,280,220,180,180,120,90,61,50,41,33,29,28,28
110,28,32,32,33,37,51,79,140,150,190,250,240,270,240,190,170,120,90,57,47,40,34,30,28,28
120,28,32,31,32,38,51,75,130,130,180,290,320,280,220,170,140,120,90,54,54,40,34,31,28,28
130,28,32,31,32,38,50,68,170,170,180,260,290,250,200,160,140,110,100,53,45,39,34,31,29,28
140,28,32,31,33,38,48,58,190,160,180,210,180,180,170,160,120,110,100,54,45,39,34,31,29,28
150,28,32,31,34,38,44,50,160,210,190,180,190,160,150,130,120,150,110,54,44,38,34,31,30,28
160,28,32,32,34,37,41,46,190,180,180,160,180,180,170,140,150,150,110,55,43,38,34,31,30,28
170,28,32,32,34,37,40,43,180,240,150,190,200,230,220,170,210,130,120,57,44,36,33,31,29,28
180,28,32,32,34,36,41,45,170,180,160,210,220,220,230,220,180,150,140,58,43,35,32,29,28,28
190,28,32,32,33,36,43,51,140,170,150,220,230,220,250,230,210,170,160,59,43,33,30,29,2,28
200,28,32,32,34,38,46,59,100,160,140,260,220,220,220,280,170,160,140,61,43,33,30,27,27,28
210,28,32,31,34,40,51,69,100,140,140,170,200,220,220,200,180,150,110,63,42,33,29,27,27,28
220,28,32,32,35,42,54,77,100,130,200,200,220,240,250,220,160,130,100,64,43,33,29,27,27,28
230,28,33,33,35,43,57,81,110,140,230,240,250,250,250,220,150,120,100,64,43,34,29,29,28,28
240,28,33,33,36,43,57,81,110,140,210,370,290,330,310,240,150,100,90,62,44,35,30,30,29,28
250,28,34,34,37,42,55,78,110,140,200,260,270,270,280,230,160,100,90,63,46,37,31,31,30,28
260,28,34,35,37,41,53,72,110,150,220,280,270,230,220,200,150,110,90,63,49,39,33,32,30,28
270,28,34,36,37,41,50,68,120,160,260,260,230,230,210,210,170,120,90,65,51,41,34,32,30,28
280,28,35,36,38,41,49,65,130,200,280,440,400,370,350,260,190,120,100,71,53,43,35,32,30,28
290,28,35,36,39,43,50,63,120,170,270,360,480,640,560,340,210,140,100,76,56,45,36,32,29,28
300,28,35,36,40,45,52,64,70,150,220,380,560,660,570,530,220,160,110,81,59,46,37,32,29,28
310,28,34,36,42,48,56,65,70,160,250,330,460,570,530,370,210,190,130,84,58,46,37,31,29,28
320,28,34,36,42,51,59,68,140,250,320,420,360,260,280,270,230,210,140,82,58,46,37,32,29,28
330,28,33,35,42,53,62,73,150,210,310,160,610,390,280,270,260,190,120,76,56,45,37,32,30,28
340,28,34,35,42,52,64,80,180,140,340,330,300,300,280,140,170,160,110,70,54,44,38,33,30,28
350,28,33,35,41,51,65,87,240,310,400,560,700,360,350,360,290,140,110,66,51,43,38,34,30,28
360,28,33,34,39,49,64,91,240,230,500,800,540,380,280,330,260,130,100,65,51,43,38,34,31,28
